Date,ahpiopen,ahpiclose,ahpilow,ahpihigh,ahpivolume
2014-11-05,3.640000104904175,3.5799999237060547,3.4800000190734863,3.6600000858306885,26800.0
2014-11-06,3.5,3.4600000381469727,3.4200000762939453,3.559999942779541,9700.0
2014-11-07,3.440000057220459,3.4600000381469727,3.440000057220459,3.4800000190734863,1600.0
2014-11-10,3.4600000381469727,3.5399999618530273,3.4600000381469727,3.5799999237060547,6900.0
2014-11-11,3.5799999237060547,3.359999895095825,3.319999933242798,3.5799999237060547,22200.0
2014-11-12,3.440000057220459,3.440000057220459,3.4200000762939453,3.5,8700.0
2014-11-13,3.3399999141693115,3.1600000858306885,3.0799999237060547,3.4000000953674316,17500.0
2014-11-14,3.0399999618530273,2.8399999141693115,2.7200000286102295,3.1600000858306885,33900.0
2014-11-17,2.799999952316284,2.8399999141693115,2.5799999237060547,3.2200000286102295,28600.0
2014-11-18,3.0,3.119999885559082,3.0,3.140000104904175,20200.0
2014-11-19,3.1600000858306885,3.0799999237060547,3.0,3.1600000858306885,16300.0
2014-11-20,3.059999942779541,3.0399999618530273,2.9600000381469727,3.200000047683716,24900.0
2014-11-21,2.819999933242798,3.0,2.819999933242798,3.200000047683716,21300.0
2014-11-24,3.0199999809265137,3.0399999618530273,3.0199999809265137,3.0999999046325684,7400.0
2014-11-25,3.140000104904175,3.140000104904175,3.0399999618530273,3.1600000858306885,9700.0
2014-11-26,3.180000066757202,3.299999952316284,3.0399999618530273,3.319999933242798,13200.0
2014-11-28,3.259999990463257,3.4200000762939453,3.1600000858306885,3.4200000762939453,1400.0
2014-12-01,3.380000114440918,3.240000009536743,3.240000009536743,3.380000114440918,900.0
2014-12-02,3.200000047683716,3.200000047683716,3.200000047683716,3.319999933242798,4400.0
2014-12-03,3.200000047683716,3.259999990463257,3.200000047683716,3.259999990463257,300.0
2014-12-04,3.240000009536743,3.2799999713897705,3.180000066757202,3.4200000762939453,5600.0
2014-12-05,3.200000047683716,3.119999885559082,3.0199999809265137,3.200000047683716,8400.0
2014-12-08,3.0799999237060547,2.8399999141693115,2.799999952316284,3.119999885559082,10400.0
2014-12-09,3.0199999809265137,2.880000114440918,2.8399999141693115,3.0399999618530273,5300.0
2014-12-10,2.859999895095825,2.880000114440918,2.859999895095825,2.9800000190734863,2100.0
2014-12-11,2.859999895095825,2.7200000286102295,2.640000104904175,2.9000000953674316,23700.0
2014-12-12,2.799999952316284,2.9000000953674316,2.640000104904175,2.9200000762939453,11500.0
2014-12-15,2.9800000190734863,2.9800000190734863,2.859999895095825,3.0799999237060547,10600.0
2014-12-16,2.859999895095825,2.859999895095825,2.799999952316284,2.9800000190734863,2900.0
2014-12-17,2.940000057220459,3.0,2.9000000953674316,3.0,2500.0
2014-12-18,2.9000000953674316,3.0,2.9000000953674316,3.0,6600.0
2014-12-19,2.9600000381469727,2.940000057220459,2.9200000762939453,3.0199999809265137,6000.0
2014-12-22,2.9000000953674316,3.0,2.9000000953674316,3.0,1200.0
2014-12-23,2.9800000190734863,3.0199999809265137,2.9000000953674316,3.0199999809265137,15400.0
2014-12-24,3.0199999809265137,3.180000066757202,3.0199999809265137,3.180000066757202,2400.0
2014-12-26,3.0799999237060547,3.180000066757202,2.940000057220459,3.200000047683716,9800.0
2014-12-29,3.200000047683716,3.059999942779541,2.940000057220459,3.200000047683716,22800.0
2014-12-30,2.9800000190734863,3.0199999809265137,2.9800000190734863,3.319999933242798,11100.0
2014-12-31,3.0,3.680000066757202,2.9600000381469727,3.680000066757202,8900.0
2015-01-02,3.680000066757202,3.5399999618530273,3.200000047683716,3.680000066757202,15800.0
2015-01-05,3.4000000953674316,3.0999999046325684,3.0999999046325684,3.4200000762939453,7400.0
2015-01-06,3.4000000953674316,3.380000114440918,3.2799999713897705,3.4600000381469727,1600.0
2015-01-07,3.319999933242798,3.2799999713897705,3.200000047683716,3.319999933242798,2500.0
2015-01-08,3.4600000381469727,3.2799999713897705,3.259999990463257,3.4800000190734863,2500.0
2015-01-09,3.5199999809265137,3.0999999046325684,3.0999999046325684,3.5199999809265137,2100.0
2015-01-12,2.640000104904175,3.0199999809265137,2.640000104904175,3.119999885559082,6000.0
2015-01-13,3.0199999809265137,3.0,3.0,3.299999952316284,16900.0
2015-01-14,2.940000057220459,3.119999885559082,2.940000057220459,3.1600000858306885,600.0
2015-01-15,2.9800000190734863,2.940000057220459,2.940000057220459,3.0,5500.0
