Date,osisopen,osisclose,osislow,osishigh,osisvolume
2018-01-17,71.86000061035156,69.31999969482422,69.16999816894531,72.94000244140625,706200
2018-01-18,69.25,68.16000366210938,67.4000015258789,69.76000213623047,315900
2018-01-19,68.05000305175781,68.52999877929688,67.87999725341797,68.7300033569336,191100
2018-01-22,68.3499984741211,68.88999938964844,67.4000015258789,68.91999816894531,243600
2018-01-23,68.55999755859375,67.52999877929688,67.23999786376953,68.76000213623047,286800
2018-01-24,67.55000305175781,66.56999969482422,66.25,68.20999908447266,248900
2018-01-25,66.69999694824219,67.37999725341797,66.0,67.87000274658203,287100
2018-01-26,67.87999725341797,67.33999633789062,67.13999938964844,68.01000213623047,234800
2018-01-29,67.0999984741211,66.58000183105469,66.44999694824219,67.44000244140625,383000
2018-01-30,66.05999755859375,66.31999969482422,65.69000244140625,66.56999969482422,281300
2018-01-31,66.63999938964844,66.08000183105469,64.80999755859375,66.87000274658203,626600
2018-02-01,65.83999633789062,66.5999984741211,64.47000122070312,66.97000122070312,546500
2018-02-02,54.68000030517578,54.599998474121094,50.5,56.7400016784668,3294200
2018-02-05,54.08000183105469,55.20000076293945,54.0099983215332,56.40999984741211,969700
2018-02-06,55.220001220703125,58.220001220703125,54.119998931884766,59.20000076293945,721100
2018-02-07,57.939998626708984,59.91999816894531,57.77000045776367,61.25,678500
2018-02-08,59.83000183105469,57.70000076293945,57.65999984741211,60.84000015258789,675700
2018-02-09,59.029998779296875,58.90999984741211,57.599998474121094,60.77000045776367,661800
2018-02-12,58.939998626708984,60.029998779296875,57.810001373291016,60.33000183105469,372200
2018-02-13,59.619998931884766,59.779998779296875,59.439998626708984,60.11000061035156,296700
2018-02-14,59.34000015258789,60.45000076293945,58.86000061035156,60.970001220703125,245700
2018-02-15,60.900001525878906,61.959999084472656,60.45000076293945,62.0099983215332,309100
2018-02-16,61.709999084472656,63.08000183105469,61.2400016784668,63.369998931884766,596500
2018-02-20,63.029998779296875,63.11000061035156,62.18000030517578,64.08000183105469,187200
2018-02-21,63.31999969482422,64.0,63.099998474121094,65.55000305175781,295600
2018-02-22,64.16000366210938,63.4900016784668,63.209999084472656,64.73999786376953,379900
2018-02-23,63.91999816894531,64.04000091552734,63.279998779296875,64.2699966430664,231300
2018-02-26,64.02999877929688,64.41999816894531,63.650001525878906,64.94999694824219,221100
2018-02-27,64.4800033569336,64.27999877929688,64.12999725341797,65.0,287500
2018-02-28,64.72000122070312,63.13999938964844,63.130001068115234,64.72000122070312,145900
2018-03-01,63.33000183105469,62.150001525878906,61.58000183105469,63.75,209400
2018-03-02,61.529998779296875,63.33000183105469,61.5099983215332,63.56999969482422,297300
2018-03-05,63.0099983215332,63.9900016784668,62.65999984741211,64.36000061035156,419100
2018-03-06,64.62999725341797,65.55000305175781,64.0,65.7699966430664,319700
2018-03-07,65.48999786376953,67.0999984741211,65.48999786376953,67.83000183105469,264100
